Figure 1 Data,,,
U.S. International Maritime Container Traffic: 1995-2005,,,
(Millions of TEUs),,,
, Export , Import ,Balance (export minus imports)
1995, 6.4 , 6.8 ,-0.34
1996, 6.5 , 6.9 ,-0.41
1997, 7.1 , 7.8 ,-0.71
1998, 6.6 , 8.9 ,-2.28
1999, 6.6 , 10.0 ,-3.36
2000, 6.9 , 11.1 ,-4.24
2001, 6.8 , 11.3 ,-4.42
2002, 6.8 , 12.9 ,-6.10
2003, 7.4 , 13.9 ,-6.51
2004, 8.0 , 15.8 ,-7.76
2005, 8.6 , 17.3 ,-8.71
"SOURCE:  U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from U.S. Department of Transportation, Maritime Administration which are drawn from the Journal of Commerce, Port Import/Export Reporting Service (PIERS) data system, and available at www.marad.dot.gov, as of November 2006.",,,
