Figure 2 Data,
U.S. International Maritime Containerized Activity: 1995-2005,
,
,Thousands of TEUs
1995," 13,328 "
1996," 14,794 "
1997," 15,556 "
1998," 15,556 "
1999," 16,564 "
2000," 17,938 "
2001," 18,081 "
2002," 19,729 "
2003," 21,289 "
2004," 23,851 "
2005," 25,868 "
"NOTE:  TEUS = twenty-foot equivalent units.  One twenty-foot container equals one TEU while one forty-foot container equals two TEUs.  Total includes ports for all container ports in all 50 states and Puerto Rico.The data in this figure include only loaded containers in U.S. international maritime activity.  It includes U.S. imports, exports, plus transshipments.",
"SOURCE:  U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on  data from U.S. Department of Transportation, Maritime Administration which are drawn from the Journal of Commerce, Port Import/Export Reporting Service (PIERS) data system, and available at www.marad.dot.gov, as of November 2006.",
