Table 2,,,,,,,,,,,,,,,
Top 10 U.S. Maritime Container Ports: 1995-2005,,,,,,,,,,,,,,,
(Thousands of TEUs),,,,,,,,,,,,,,,
Port,1995,2000,2005,Daily average number of TEUs (1995),Daily average number of TEUs (2000),Daily average number of TEUs (2005),"Percent change, 1995-2005","Average annual growth rate, 1995-2005 (percent)",,,,,,,
"Los Angeles, CA"," 1,849 "," 3,228 "," 4,864 "," 5,066 "," 8,843 "," 13,326 ",163.1,10.2,,,,,,,
"Long Beach, CA"," 2,137 "," 3,204 "," 4,378 "," 5,855 "," 8,777 "," 11,996 ",104.9,7.4,,,,,,,
"New York, NY"," 1,537 "," 2,200 "," 3,387 "," 4,211 "," 6,028 "," 9,280 ",120.4,8.2,,,,,,,
"Charleston, SC", 758 ," 1,246 "," 1,509 "," 2,077 "," 3,414 "," 4,133 ",99.0,7.1,,,,,,,
"Savannah, GA", 445 , 720 ," 1,469 "," 1,219 "," 1,973 "," 4,025 ",230.2,12.7,,,,,,,
"Oakland, CA", 919 , 989 ," 1,374 "," 2,518 "," 2,709 "," 3,764 ",49.5,4.1,,,,,,,
"Seattle, WA", 993 , 960 ," 1,339 "," 2,721 "," 2,630 "," 3,670 ",34.9,3.0,,,,,,,
"Norfolk, VA", 647 , 850 ," 1,319 "," 1,773 "," 2,330 "," 3,613 ",103.8,7.4,,,,,,,
"Houston, TX", 489 , 733 ," 1,222 "," 1,340 "," 2,009 "," 3,347 ",149.8,9.6,,,,,,,
"Tacoma, WA", 604 , 647 ," 1,155 "," 1,654 "," 1,773 "," 3,164 ",91.3,6.7,,,,,,,
,,,,,,,,,,,,,,,
Total top 10 ports," 10,378 "," 14,777 "," 22,016 "," 28,432 "," 40,486 "," 60,318 ",112.1,7.8,,,,,,,
Total all ports1," 13,328 "," 17,938 "," 25,868 "," 36,515 "," 49,144 "," 70,872 ",94.1,6.9,,,,,,
"    Top 10, percent of total", 77.9 , 82.4 , 85.1 ,,,,,,,,,,,
NOTE:  TEUS = twenty-foot equivalent units.  One twenty-foot container equals one TEU while one forty-foot container equals two TEUs.,,,,,,,,,,,,,,
"1 Total includes ports for all container ports in all 50 states and Puerto Rico.

The data in this table include only loaded containers in U.S. international maritime activity.  It includes U.S. imports, exports, plus transshipments, therefore the trade levels will be greater than those reported from U.S. international trade statistics, which excludes transshipments. The data also excludes military shipments.",,,,,,,,,,,,,,
"SOURCE:  U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from U.S. Department of Transportation, Maritime Administration which are drawn from the Journal of Commerce, Port Import/Export Reporting Service (PIERS) data system, and available at www.marad.dot.gov, as of November 2006.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
