Figure 4,,
World’s Top Merchandise Trade Countries: 2007,,
"(Percent)
",,
,Percent of total,
Singapore,2.0,
Mexico,2.0,
Spain,2.2,
"Korea, Republic of",2.6,
"Hong Kong, China",2.6,
Canada,2.9,
Belgium,3.0,
Italy,3.5,
Netherlands,3.7,
United Kingdom,3.8,
France,4.1,
Japan,4.7,
China,7.7,
Germany,8.5,
United States,11.3,
"SOURCE: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from World Trade Organization, 2008 Trade Report.",,
,,
,,
,,
,,


,,
