Figure 6,,,,,,,,,
Year-on-Year Percent Change in U.S. Container Trade and Real GDP: 1995–2008,,,,,,,,,
(Percent),,,,,,,,,
,US real GDP,US loaded TEUs,U.S. real GDP,U.S.-loaded TEUs,,,,,
1995," 8,032 "," 13,328 ",-–,-–,,,,,
1996," 8,329 "," 14,794 ",3.7,11.0,,,,,
1997," 8,704 "," 14,860 ",4.5,0.4,,,,,
1998," 9,067 "," 15,556 ",4.2,4.7,,,,,
1999," 9,470 "," 16,564 ",4.4,6.5,,,,,
2000," 9,817 "," 17,938 ",3.7,8.3,,,,,
2001," 9,891 "," 18,081 ",0.8,0.8,,,,,
2002," 10,049 "," 19,729 ",1.6,9.1,,,,,
2003," 10,301 "," 21,289 ",2.5,7.9,,,,,
2004," 10,676 "," 23,851 ",3.6,12.0,,,,,
2005," 10,990 "," 26,092 ",2.9,9.4,,,,,
2006," 11,295 "," 27,631 ",2.8,5.9,,,,,
2007," 11,524 "," 29,020 ",2.0,5.0,,,,,
2008," 11,653 "," 28,190 ",1.1,-2.9,,,,,
NOTE: Real GDP growth is measured at seasonally adjusted annual rates based on chained 2000 dollars.,,,,,,,,,
"SOURCES: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from Department of Commerce, Bureau of Economic Analysis, National Economic Accounts, National Incomes and Products Account, www.bea.gov/national/nipaweb/index.asp, as of March 14, 2009. TEU data based on data from U.S. Department of Transportation, Maritime Administration, which are drawn from The Journal of Commerce, Port Import Export Reporting Service (PIERS).",,,,,,,,,

,,,,,,,,,
,,,,,,,,,
