Figure 8,,,,,,,,
Top 25 Container Ports for U.S. International Maritime Freight: 2008,,,,,,,,
"(Thousands of TEUs)
",,,,,,,,
Port Name,Total, Imports , Exports ,,,,,
Port of Los Angeles," 5,700 "," 4,323 "," 1,377 ",,,,,
Port of Long Beach," 4,961 "," 3,686 "," 1,275 ",,,,,
Port of New York/New Jersey," 3,893 "," 2,640 "," 1,253 ",,,,,
Port of Savannah," 2,017 "," 1,078 ", 939 ,,,,,
Port of Norfolk," 1,568 ", 857 , 711 ,,,,,
Port of Oakland," 1,423 ", 799 , 624 ,,,,,
Port of Charleston," 1,401 ", 769 , 632 ,,,,,
Port of Houston," 1,394 ", 620 , 774 ,,,,,
Port of Seattle," 1,277 ", 786 , 491 ,,,,,
Port of Tacoma," 1,133 ", 722 , 411 ,,,,,
Port Everglades, 686 , 312 , 374 ,,,,,
Port of Miami, 673 , 348 , 324 ,,,,,
Port of Baltimore, 430 , 254 , 176 ,,,,,
Port of New Orleans, 247 , 77 , 170 ,,,,,
Port of San Juan, 207 , 151 , 56 ,,,,,
Port of Portland, 197 , 105 , 93 ,,,,,
Port of Philiadelphia, 197 , 162 , 35 ,,,,,
"Port of Wilmington, DE", 185 , 142 , 44 ,,,,,
Port of Gulport, 171 , 104 , 67 ,,,,,
Port of West Palm Beach, 164 , 47 , 117 ,,,,,
Port of Boston, 158 , 94 , 64 ,,,,,
Port of Jacksonville, 150 , 44 , 106 ,,,,,
"Port of Wilmington, NC", 150 , 85 , 65 ,,,,,
Port of Chester, 103 , 52 , 51 ,,,,,
Port of Mobile, 63 , 35 , 29 ,,,,,
"KEY: TEUs = twenty-foot equivalent units. One 20-foot container equals one TEU, and one 40-foot container equals two TEUs.",,,,,,,,
"NOTE: The data in this figure include only loaded containers in U.S. international maritime activity and cover U.S. imports, exports, and transshipments.  Therefore, the trade levels will be greater than those reported from U.S. international trade statistics, which exclude transshipments. The data also exclude military shipments.",,,,,,,,
"SOURCE:  U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from U.S. Department of Transportation, Maritime Administration, which are drawn from The Journal of Commerce, Port Import Export Reporting Service (PIERS), available at www.marad.dot.gov, as of March 30, 2009.",,,,,,,,
