Figure 10,,,,,,,,,,
"Coastal Port Region’s Market Share of U.S. Containerized TEUs: 1980–2007
",,,,,,,,,,
Base data,,,,,Percents,,,,,
,West/Pacific Coast,East/Atlantic Coast,Gulf Coast,Total,West/Pacific Coast,East/Atlantic Coast,Gulf Coast,,,
1980," 3,512 "," 4,348 ", 580 ," 8,440 ", 41.6 , 51.5 , 6.9 ,,,
1981," 2,596 "," 4,486 ", 565 ," 7,646 ", 33.9 , 58.7 , 7.4 ,,,
1982," 3,436 "," 4,299 ", 693 ," 8,428 ", 40.8 , 51.0 , 8.2 ,,,
1983," 3,046 "," 4,651 ", 670 ," 8,367 ", 36.4 , 55.6 , 8.0 ,,,
1984," 5,385 "," 5,555 ", 831 ," 11,771 ", 45.7 , 47.2 , 7.1 ,,,
1985," 5,399 "," 5,513 ", 812 ," 11,724 ", 46.0 , 47.0 , 6.9 ,,,
1986," 5,998 "," 5,806 ", 928 ," 12,732 ", 47.1 , 45.6 , 7.3 ,,,
1987," 6,569 "," 5,776 ", 911 ," 13,256 ", 49.6 , 43.6 , 6.9 ,,,
1988," 6,994 "," 6,251 ", 895 ," 14,140 ", 49.5 , 44.2 , 6.3 ,,,
1989," 7,824 "," 6,432 ", 814 ," 15,070 ", 51.9 , 42.7 , 5.4 ,,,
1990," 8,185 "," 6,564 ", 822 ," 15,572 ", 52.6 , 42.2 , 5.3 ,,,
1991," 8,377 "," 7,002 ", 938 ," 16,316 ", 51.3 , 42.9 , 5.7 ,,,
1992," 8,961 "," 7,212 "," 1,142 "," 17,315 ", 51.8 , 41.7 , 6.6 
1993," 9,254 "," 8,254 "," 1,191 "," 18,699 ", 49.5 , 44.1 , 6.4 
1994," 10,459 "," 8,807 "," 1,222 "," 20,488 ", 51.0 , 43.0 , 6.0 
1995," 11,422 "," 9,729 "," 1,186 "," 22,337 ", 51.1 , 43.6 , 5.3 
1996," 11,203 "," 10,046 "," 1,362 "," 22,611 ", 49.5 , 44.4 , 6.0 
1997," 12,087 "," 10,946 "," 1,492 "," 24,524 ", 49.3 , 44.6 , 6.1 
1998," 13,209 "," 11,487 "," 1,470 "," 26,166 ", 50.5 , 43.9 , 5.6 
1999," 14,085 "," 12,304 "," 1,619 "," 28,007 ", 50.3 , 43.9 , 5.8 
2000," 15,666 "," 13,042 "," 1,688 "," 30,396 ", 51.5 , 42.9 , 5.6 
2001," 15,951 "," 13,009 "," 1,703 "," 30,664 ", 52.0 , 42.4 , 5.6 
2002," 17,363 "," 13,621 "," 1,718 "," 32,703 ", 53.1 , 41.7 , 5.3 
2003," 20,060 "," 14,402 "," 1,838 "," 36,300 ", 55.3 , 39.7 , 5.1 
2004," 21,180 "," 15,406 "," 2,069 "," 38,655 ", 54.8 , 39.9 , 5.4 
2005," 23,011 "," 16,791 "," 2,162 "," 41,964 ", 54.8 , 40.0 , 5.2 
2006," 24,683 "," 17,491 "," 2,239 "," 44,413 ", 55.6 , 39.4 , 5.0 
2007," 24,538 "," 17,921 "," 2,534 "," 44,993 ", 54.5 , 39.8 , 5.6 
"
KEY: TEUs = twenty-foot equivalent units.  One 20-foot container equals one TEU, and one 40-foot container equals two TEUs.

",,,,,,,,,
"NOTES: Totals are for all container ports in all 50 states and Puerto Rico. The data in this figure include both loaded and unloaded containers in U.S. international maritime activity and cover U.S. imports, exports, and transshipments.",,,,,,,,,
"SOURCE: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from the American Association of Port Authorities, available at www.aapa.org, as of March 20, 2009.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
