Figure 13,,,,,,,,,
"Top 10 Trading Partners for U.S. Waterborne Containerized Imports: 2000, 2005, and 2007",,,,,,,,,
"(Percent)
",,,,,,,,,
,"Percent share of total TEUs, 2000","Percent share of total TEUs, 2005","Percent share of total TEUs, 2007",,,,,,
China (excluding Hong Kong), 25.1 ,42.7,47.4,,,,,,
Japan, 7.0 ,4.8,4.2,,,,,,
Hong Kong (China), 8.7 ,4.8,3.5,,,,,,
South Korea, 3.9 ,3.2,3.0,,,,,,
Taiwan, 5.5 ,3.4,3.0,,,,,,
Germany, 3.9 ,3.0,2.7,,,,,,
Italy, 4.0 ,2.7,2.3,,,,,,
Brazil, 2.3 ,2.8,2.3,,,,,,
Thailand, 3.1 ,2.5,2.1,,,,,,
Vietnam, 0.2 ,1.4,2.0,,,,,,
Others,36.2,28.8,27.4,,,,,,
"NOTE: For the analysis in this report, U.S. merchandise trade with mainland China and Hong Kong are considered separately. As used here, China refers to mainland China.",,,,,,,,,
"SOURCE: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from U.S. Department of Transportation, Maritime Administration, as of April 20, 2009.",,,
