Figure 16,,,,,,,,,
Monthly Maritime Container Entries into the United States: 2006–2007,,,,,,,,,
"(Thousands of container units of all sizes)
",,,,,,,,,
,2006,2007,,,,,,,
Jan , 924 , 932 ,,,,,,,
Feb, 765 , 909 ,,,,,,,
Mar, 908 , 864 ,,,,,,,
Apr," 1,010 ", 998 ,,,,,,,
May, 965 , 991 ,,,,,,,
Jun," 1,026 ", 969 ,,,,,,,
Jul," 1,055 "," 1,035 ",,,,,,,
Aug," 1,073 "," 1,028 ",,,,,,,
Sep," 1,040 "," 1,025 ",,,,,,,
Oct," 1,058 ", 975 ,,,,,,,
Nov, 973 , 962 ,,,,,,,
Dec, 922 , 928 ,,,,,,,
"SOURCE: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from U.S. Department of Homeland Security, Customs and Border Protection, Mission Support Services, Operations Management Database.",,



,,
