Table 3,,,,,,,,,,,,,
"Top 10 U.S. Maritime Container Ports by Loaded TEUs: 1995, 2000, 2007, and 2008
",,,,,,,,,,,,,
,Annual traffic (thousands),,,,Daily average,,,,Trend,,,,
Port,1995,2000,2007,2008,1995,2000,2007,2008,"Percent change, 2007–2008","Percent change, 1995–2008","Average annual growth rate, 1995–2008 (percent)",,
"Los Angeles, CA"," 1,849 "," 3,228 "," 5,740 "," 5,671 "," 5,066 "," 8,843 "," 15,727 "," 15,537 ",-1.2,206.7,9.0,,
"Long Beach, CA"," 2,137 "," 3,204 "," 4,995 "," 4,612 "," 5,855 "," 8,777 "," 13,685 "," 12,635 ",-7.7,115.8,6.1,,
"New York/New Jersey, NY/NJ"," 1,537 "," 2,200 "," 3,935 "," 3,992 "," 4,211 "," 6,028 "," 10,782 "," 10,938 ",1.4,159.7,7.6,,
"Savannah, GA", 445 , 720 ," 2,042 "," 2,116 "," 2,077 "," 3,414 "," 5,593 "," 5,797 ",3.6,375.5,12.7,,
"Norfolk, VA", 647 , 850 ," 1,573 "," 1,592 "," 1,219 "," 1,973 "," 4,310 "," 4,360 ",1.2,146.0,7.2,,
"Oakland, CA", 919 , 989 ," 1,451 "," 1,395 "," 2,518 "," 2,709 "," 3,976 "," 3,821 ",-3.9,51.8,3.3,,
"Charleston, SC", 758 ," 1,246 "," 1,416 "," 1,371 "," 2,721 "," 2,630 "," 3,879 "," 3,756 ",-3.2,80.8,4.7,,
"Houston, TX", 489 , 733 ," 1,408 "," 1,331 "," 1,773 "," 2,330 "," 3,859 "," 3,646 ",-5.5,172.2,8.0,,
"Seattle, WA", 993 , 960 ," 1,151 "," 1,129 "," 1,340 "," 2,009 "," 3,152 "," 3,094 ",-1.9,13.7,1.0,,
"Tacoma, WA", 604 , 647 ," 1,289 "," 1,083 "," 1,654 "," 1,773 "," 3,533 "," 2,966 ",-16.0,79.3,4.6,,
Total top 10 ports," 10,378 "," 14,777 "," 25,001 "," 24,291 "," 28,432 "," 40,486 "," 68,495 "," 66,550 ",-2.8,134.1,6.8,,
Total all ports1," 13,328 "," 17,938 "," 28,969 "," 28,190 "," 36,515 "," 49,144 "," 79,368 "," 77,234 ",-2.7,111.5,5.9,,
"Top 10, percent of total", 77.9 , 82.4 , 86.3 , 86.2 , 77.9 , 82.4 , 86.3 , 86.2 ,-–,-–,-–,,
"KEY:  TEUs = twenty-foot equivalent units.  One 20-foot container equals one TEU, and one 40-foot container equals two TEUs.",,,,,,,,,,,,,
"NOTE: The data in this table include only loaded containers in U.S. international maritime activity and cover U.S. imports, exports, and transshipments. Therefore, the trade levels will be greater than those reported from U.S. international trade statistics, which exclude transshipments. The data also exclude military shipments.

1 All container ports in all 50 states and Puerto Rico. ",,,,,,,,,,,,,
"SOURCE: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from U.S. Department of Transportation, Maritime Administration, which are drawn from The Journal of Commerce, Port Import Export Reporting Service (PIERS), as of March 20, 2009.",,,,,,,,,,,,,
