Table 6,,,,,,,,,,,
Container Entries into the United States from All Countries and by All Modes: 2000–2008,,,,,,,,,,,
"(Thousands of entries)
",,,,,,,,,,,
Year,Vessel containers full,Vessel containers empty,Truck containers full,Truck containers empty,Rail containers full,Rail containers empty,Overall total,,,,
2000," 5,353 ", 635 ," 7,685 "," 2,748 "," 1,482 ", 685 ," 18,587 ",,,,
2005," 10,933 ", 481 ," 8,850 "," 2,603 "," 1,794 ", 875 ," 25,536 ",,,,
2006," 11,238 ", 480 ," 8,721 "," 2,689 "," 1,792 ", 935 ," 25,855 ",,,,
2007," 11,038 ", 578 ," 8,428 "," 2,791 "," 1,748 "," 1,005 "," 25,588 ",,,,
2008, NA , NA ," 7,680 "," 2,947 "," 1,645 "," 1,029 ", NA ,,,,
Modal shares (percent),,,,,,,,,,,
2000, 28.8 , 3.4 , 41.3 , 14.8 , 8.0 , 3.7 , 100.0 ,,,,
2005, 42.8 , 1.9 , 34.7 , 10.2 , 7.0 , 3.4 , 100.0 ,,,,
2006, 43.5 , 1.9 , 33.7 , 10.4 , 6.9 , 3.6 , 100.0 ,,,,
2007, 43.1 , 2.3 , 32.9 , 10.9 , 6.8 , 3.9 , 100.0 ,,,,
2008, NA , NA , NA , NA , NA , NA , NA ,,,,
KEY: NA = Not available.,,,,,,,,,,,
"SOURCE: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, based on data from U.S. Department of Homeland Security, Customs and Border Protection, Mission Support Services, Operations Management Database.",,,,,,,
